Time,Load
4/4/2019 12:00:00 AM,17158
4/4/2019 1:00:00 AM,17324
4/4/2019 2:00:00 AM,17651
4/4/2019 3:00:00 AM,18453
4/4/2019 4:00:00 AM,19447
4/4/2019 5:00:00 AM,20585
4/4/2019 6:00:00 AM,21476
4/4/2019 7:00:00 AM,21341
4/4/2019 8:00:00 AM,20773
4/4/2019 9:00:00 AM,20290
4/4/2019 10:00:00 AM,19790
4/4/2019 11:00:00 AM,19681
4/4/2019 12:00:00 PM,19508
4/4/2019 1:00:00 PM,19351
4/4/2019 3:00:00 PM,19194
4/4/2019 4:00:00 PM,19198
4/4/2019 5:00:00 PM,19227
4/4/2019 6:00:00 PM,19258
4/4/2019 7:00:00 PM,19217
4/4/2019 8:00:00 PM,18830
4/4/2019 9:00:00 PM,18235
4/4/2019 10:00:00 PM,17471
4/4/2019 11:00:00 PM,17058
4/10/2019 12:00:00 AM,19230
4/10/2019 1:00:00 AM,19252
4/10/2019 2:00:00 AM,19711
4/10/2019 3:00:00 AM,20317
4/10/2019 4:00:00 AM,21317
4/10/2019 5:00:00 AM,22626
4/10/2019 6:00:00 AM,23811
4/10/2019 7:00:00 AM,24047
4/10/2019 8:00:00 AM,23635
4/10/2019 9:00:00 AM,23048
4/10/2019 10:00:00 AM,22440
4/10/2019 11:00:00 AM,22025
4/10/2019 12:00:00 PM,21980
4/10/2019 1:00:00 PM,21535
4/10/2019 2:00:00 PM,21377
4/10/2019 3:00:00 PM,21255
4/10/2019 4:00:00 PM,21317
4/10/2019 5:00:00 PM,21408
4/10/2019 6:00:00 PM,21609
4/10/2019 7:00:00 PM,21414
4/10/2019 8:00:00 PM,21275
4/10/2019 9:00:00 PM,20808
4/10/2019 10:00:00 PM,20110
4/10/2019 11:00:00 PM,19553
4/30/2019 12:00:00 AM,14648
4/30/2019 1:00:00 AM,14372
4/30/2019 2:00:00 AM,14313
4/30/2019 3:00:00 AM,15261
4/30/2019 4:00:00 AM,17293
4/30/2019 5:00:00 AM,17512
4/30/2019 6:00:00 AM,18175
4/30/2019 7:00:00 AM,18662
4/30/2019 8:00:00 AM,18337
4/30/2019 9:00:00 AM,18047
4/30/2019 10:00:00 AM,17705
4/30/2019 11:00:00 AM,17553
4/30/2019 12:00:00 PM,17287
4/30/2019 1:00:00 PM,17104
4/30/2019 2:00:00 PM,17249
4/30/2019 3:00:00 PM,17350
4/30/2019 4:00:00 PM,17361
4/30/2019 5:00:00 PM,17315
4/30/2019 6:00:00 PM,17059
4/30/2019 7:00:00 PM,17015
4/30/2019 8:00:00 PM,16773
4/30/2019 9:00:00 PM,16645
4/30/2019 10:00:00 PM,16382
4/30/2019 11:00:00 PM,16042
5/2/2019 12:00:00 AM,15784
5/2/2019 1:00:00 AM,15425
5/2/2019 2:00:00 AM,15423
5/2/2019 3:00:00 AM,17444
5/2/2019 4:00:00 AM,19198
5/2/2019 5:00:00 AM,19384
5/2/2019 6:00:00 AM,19797
5/2/2019 7:00:00 AM,20026
5/2/2019 8:00:00 AM,19605
5/2/2019 9:00:00 AM,19518
5/2/2019 10:00:00 AM,19203
5/2/2019 11:00:00 AM,18939
5/2/2019 12:00:00 PM,19341
5/2/2019 1:00:00 PM,18932
5/2/2019 2:00:00 PM,20051
5/2/2019 3:00:00 PM,19337
5/2/2019 4:00:00 PM,20386
5/2/2019 5:00:00 PM,19782
5/2/2019 6:00:00 PM,19764
5/2/2019 7:00:00 PM,18906
5/2/2019 8:00:00 PM,18179
5/2/2019 9:00:00 PM,17812
5/2/2019 10:00:00 PM,17337
5/2/2019 11:00:00 PM,17203
5/3/2019 12:00:00 AM,17211
5/3/2019 1:00:00 AM,17589
5/3/2019 2:00:00 AM,18769
5/3/2019 3:00:00 AM,19829
5/3/2019 4:00:00 AM,20410
5/3/2019 5:00:00 AM,20429
5/3/2019 6:00:00 AM,20361
5/3/2019 7:00:00 AM,19577
5/3/2019 8:00:00 AM,19285
5/3/2019 9:00:00 AM,19190
5/3/2019 10:00:00 AM,18991
5/3/2019 11:00:00 AM,20179
5/3/2019 12:00:00 PM,19769
5/3/2019 1:00:00 PM,20067
5/3/2019 2:00:00 PM,19370
5/3/2019 3:00:00 PM,19252
5/3/2019 4:00:00 PM,19862
5/3/2019 5:00:00 PM,20372
5/3/2019 6:00:00 PM,19893
5/3/2019 7:00:00 PM,19912
5/3/2019 8:00:00 PM,19224
5/3/2019 9:00:00 PM,18539
5/3/2019 10:00:00 PM,18148
5/3/2019 11:00:00 PM,17661
5/5/2019 12:00:00 AM,17520
5/5/2019 1:00:00 AM,18345
5/5/2019 2:00:00 AM,18685
5/5/2019 3:00:00 AM,18993
5/5/2019 4:00:00 AM,19950
5/5/2019 5:00:00 AM,19992
5/5/2019 6:00:00 AM,19824
5/5/2019 7:00:00 AM,19582
5/5/2019 8:00:00 AM,19377
5/5/2019 9:00:00 AM,19065
5/5/2019 10:00:00 AM,18661
5/5/2019 11:00:00 AM,18749
5/5/2019 12:00:00 PM,18869
5/5/2019 1:00:00 PM,18478
5/5/2019 2:00:00 PM,18759
5/5/2019 3:00:00 PM,18458
5/5/2019 4:00:00 PM,18759
5/5/2019 5:00:00 PM,18949
5/5/2019 6:00:00 PM,19020
5/5/2019 7:00:00 PM,18450
5/5/2019 8:00:00 PM,18498
5/5/2019 9:00:00 PM,18127
5/5/2019 10:00:00 PM,17763
5/5/2019 11:00:00 PM,17193
