Time,Load
4/30/2019 12:00:00 AM,14648
4/30/2019 1:00:00 AM,14372
4/30/2019 2:00:00 AM,14313
4/30/2019 3:00:00 AM,15261
4/30/2019 4:00:00 AM,17293
4/30/2019 5:00:00 AM,17512
4/30/2019 6:00:00 AM,18175
4/30/2019 7:00:00 AM,18662
4/30/2019 8:00:00 AM,18337
4/30/2019 9:00:00 AM,18047
4/30/2019 10:00:00 AM,17705
4/30/2019 11:00:00 AM,17553
4/30/2019 12:00:00 PM,17287
4/30/2019 1:00:00 PM,17104
4/30/2019 2:00:00 PM,17249
4/30/2019 3:00:00 PM,17350
4/30/2019 4:00:00 PM,17361
4/30/2019 5:00:00 PM,17315
4/30/2019 6:00:00 PM,17059
4/30/2019 7:00:00 PM,17015
4/30/2019 8:00:00 PM,16773
4/30/2019 9:00:00 PM,16645
4/30/2019 10:00:00 PM,16382
4/30/2019 11:00:00 PM,16042
