Time,Load
5/4/2019 12:00:00 AM,18246
5/4/2019 1:00:00 AM,18718
5/4/2019 2:00:00 AM,19078
5/4/2019 3:00:00 AM,19587
5/4/2019 4:00:00 AM,20733
5/4/2019 5:00:00 AM,20022
5/4/2019 6:00:00 AM,20441
5/4/2019 7:00:00 AM,20488
5/4/2019 8:00:00 AM,20447
5/4/2019 9:00:00 AM,20229
5/4/2019 10:00:00 AM,19125
5/4/2019 11:00:00 AM,19335
5/4/2019 12:00:00 PM,18550
5/4/2019 1:00:00 PM,19503
5/4/2019 2:00:00 PM,18513
5/4/2019 3:00:00 PM,18751
5/4/2019 4:00:00 PM,20537
5/4/2019 5:00:00 PM,18969
5/4/2019 6:00:00 PM,18910
5/4/2019 7:00:00 PM,18439
5/4/2019 8:00:00 PM,17874
5/4/2019 9:00:00 PM,17459
5/4/2019 10:00:00 PM,17218
5/4/2019 11:00:00 PM,16692
