Time,Load
5/5/2019 12:00:00 AM,17520
5/5/2019 1:00:00 AM,18345
5/5/2019 2:00:00 AM,18685
5/5/2019 3:00:00 AM,18993
5/5/2019 4:00:00 AM,19950
5/5/2019 5:00:00 AM,19992
5/5/2019 6:00:00 AM,19824
5/5/2019 7:00:00 AM,19582
5/5/2019 8:00:00 AM,19377
5/5/2019 9:00:00 AM,19065
5/5/2019 10:00:00 AM,18661
5/5/2019 11:00:00 AM,18749
5/5/2019 12:00:00 PM,18869
5/5/2019 1:00:00 PM,18478
5/5/2019 2:00:00 PM,18759
5/5/2019 3:00:00 PM,18458
5/5/2019 4:00:00 PM,18759
5/5/2019 5:00:00 PM,18949
5/5/2019 6:00:00 PM,19020
5/5/2019 7:00:00 PM,18450
5/5/2019 8:00:00 PM,18498
5/5/2019 9:00:00 PM,18127
5/5/2019 10:00:00 PM,17763
5/5/2019 11:00:00 PM,17193
