Time,Load
5/2/2019 12:00:00 AM,15784
5/2/2019 1:00:00 AM,15425
5/2/2019 2:00:00 AM,15423
5/2/2019 3:00:00 AM,17444
5/2/2019 4:00:00 AM,19198
5/2/2019 5:00:00 AM,19384
5/2/2019 6:00:00 AM,19797
5/2/2019 7:00:00 AM,20026
5/2/2019 8:00:00 AM,19605
5/2/2019 9:00:00 AM,19518
5/2/2019 10:00:00 AM,19203
5/2/2019 11:00:00 AM,18939
5/2/2019 12:00:00 PM,19341
5/2/2019 1:00:00 PM,18932
5/2/2019 2:00:00 PM,20051
5/2/2019 3:00:00 PM,19337
5/2/2019 4:00:00 PM,20386
5/2/2019 5:00:00 PM,19782
5/2/2019 6:00:00 PM,19764
5/2/2019 7:00:00 PM,18906
5/2/2019 8:00:00 PM,18179
5/2/2019 9:00:00 PM,17812
5/2/2019 10:00:00 PM,17337
5/2/2019 11:00:00 PM,17203
5/3/2019 12:00:00 AM,17211
5/3/2019 1:00:00 AM,17589
5/3/2019 2:00:00 AM,18769
5/3/2019 3:00:00 AM,19829
5/3/2019 4:00:00 AM,20410
5/3/2019 5:00:00 AM,20429
5/3/2019 6:00:00 AM,20361
5/3/2019 7:00:00 AM,19577
5/3/2019 8:00:00 AM,19285
5/3/2019 9:00:00 AM,19190
5/3/2019 10:00:00 AM,18991
5/3/2019 11:00:00 AM,20179
5/3/2019 12:00:00 PM,19769
5/3/2019 1:00:00 PM,20067
5/3/2019 2:00:00 PM,19370
5/3/2019 3:00:00 PM,19252
5/3/2019 4:00:00 PM,19862
5/3/2019 5:00:00 PM,20372
5/3/2019 6:00:00 PM,19893
5/3/2019 7:00:00 PM,19912
5/3/2019 8:00:00 PM,19224
5/3/2019 9:00:00 PM,18539
5/3/2019 10:00:00 PM,18148
5/3/2019 11:00:00 PM,17661
